勝	sing3
成	sing4
承	sing4
剩	sing6
䀹	sip3
攝	sip3
𤗈	sip3
折	sit6
蝕	sit6
燒	siu1
少	siu3
笑	siu3
梳	so1
疏	so1
鎖	so2
傻	so4
瀡	soe4
削	soek3
𠸑	soek3
箱	soeng1
爽	soeng2
相	soeng2
腮	soi1
宿	sok1
箾	sok1
嗍	sok3
欶	sok3
索	sok3
𦂗	sok3
爽	song2
喪	song3
臊	sou1
酥	sou1
騷	sou1
鬚	sou1
掃	sou2
掃	sou3
數	sou3
叔	suk1
宿	suk1
縮	suk1
宿	suk3
熟	suk6
鬆	sung1
慫	sung2
送	sung3
餸	sung3
茸	sung4
輸	syu1
薯	syu2
鼠	syu2
處	syu3
薯	syu4
孫	syun1
損	syun2
船	syun4
吮	syun5
𠽌	syut1
雪	syut3
呔	taai1
太	taai2
舦	taai5
軚	taai5
貪	taam1
探	taam3
燂	taam4
淡	taam5
攤	taan1
癱	taan2
儃	taan3
嘆	taan3
彈	taan4
塌	taap3
塔	taap3
拓	taap3
錔	taap3
撻	taat1
㒓	taat3
趿	taat3
梯	tai1
銻	tai1
睇	tai2
提	tai4
氹	tam3
𧨾	tam3
氹	tam5
褪	tan3
忳	tan4
揗	tan4
炖	tan4
遯	tan4
藤	tang4
佮	tap1
撻	tat1
偷	tau1
㪗	tau2
唞	tau2
抖	tau2
敨	tau2
頭	tau2
透	tau3
投	tau4
頭	tau4
廳	teng1
停	teng2
艇	teng5
推	teoi1
剔	tik1
㖭	tim1
添	tim1
舔	tim2
甜	tim4
舔	tim5
填	tin4
亭	ting2
停	ting4
貼	tip3
挑	tiu1
雕	tiu1
條	tiu2
糶	tiu3
跳	tiu3
條	tiu4
調	tiu4
拖	to1
佗	to4
砣	to4
陀	to4
唾	toe3
枱	toi2
抬	toi4
臺	toi4
劏	tong1
糖	tong2
盪	tong3
趟	tong3
唐	tong4
堂	tong4
塘	tong4
幢	tong4
盪	tong5
蕩	tong5
兔	tou3
套	tou3
桃	tou4
淘	tou4
肚	tou5
通	tung1
同	tung4
筒	tung4
斷	tyun5
脫	tyut3
屋	uk1
壅	ung1
㧬	ung2
擁	ung2
甕	ung3
划	waa1
嘩	waa1
挖	waa2
搲	waa2
畫	waa2
話	waa2
嘩	waa4
話	waa6
擓	waai2
劃	waak6
畫	waak6
彎	waan1
灣	waan1
玩	waan2
還	waan4
挽	waan5
玩	waan6
泓	waang1
橫	waang6
滑	waat2
滑	waat6
威	wai1
媁	wai1
位	wai2
喂	wai3
圍	wai4
為	wai4
為	wai6
胃	wai6
昏	wan1
搵	wan2
圂	wan3
榲	wan3
勻	wan4
暈	wan4
混	wan6
運	wan6
耾	wang1
𡃈	wang1
屈	wat1
煀	wat1
核	wat6
運	wau6
撝	we5
窩	wo1
喎	wo3
喎	wo5
涴	wo5
𢰸	wo5
獲	wok1
鑊	wok6
枉	wong2
王	wong2
黃	wong4
旺	wong6
𠌥	wu1
𠌥	wu3
壺	wu4
煨	wui1
燴	wui6
碗	wun2
涴	wun5
換	wun6
喳	zaa1
揸	zaa1
渣	zaa2
苴	zaa2
咋	zaa3
詐	zaa3
咋	zaa4
拃	zaa6
柵	zaa6
秺	zaa6
膪	zaa6
齋	zaai1
矺	zaak3
笮	zaak3
責	zaak3
擇	zaak6
擲	zaak6
矺	zaak6
䁪	zaam2
斬	zaam2
蹔	zaam2
篸	zaam3
站	zaam6
㜺	zaan2
盞	zaan2
賺	zaan2
趲	zaan2
灒	zaan3
讚	zaan3
贊	zaan3
趲	zaan3
賺	zaan6
爭	zaang1
踭	zaang1
𧶄	zaang1
䂻	zaang6
雜	zaap2
劄	zaap3
摺	zaap3
札	zaap3
褶	zaap3
㗱	zaap6
閘	zaap6
雜	zaap6
扎	zaat3
紥	zaat3
找	zaau2
爪	zaau2
櫂	zaau3
罩	zaau3
劑	zai1
擠	zai1
躋	zai1
仔	zai2
制	zai2
䎺	zai3
制	zai3
掣	zai3
滯	zai6
斟	zam1
針	zam1
枕	zam2
噚	zam3
枕	zam3
浸	zam3
朕	zam6
浸	zam6
真	zan1
趁	zan2
襯	zan3
震	zan3
陣	zan6
憎	zang1
執	zap1
輯	zap1
㨖	zat1
厔	zat1
懫	zat1
窒	zat1
質	zat1
侄	zat2
窒	zat6
躓	zat6
酒	zau2
就	zau6
袖	zau6
啫	ze1
嗻	ze1
姐	ze1
遮	ze1
且	ze2
姐	ze2
借	ze3
嗻	ze4
啫	zek1
漬	zek1
積	zek1
織	zek1
隻	zek3
席	zek6
精	zeng1
正	zeng3
疽	zeoi1
蛆	zeoi1
追	zeoi1
錐	zeoi1
咀	zeoi2
嘴	zeoi2
最	zeoi3
醉	zeoi3
除	zeoi4
樽	zeon1
幯	zeot1
捽	zeot1
椊	zeot1
蟀	zeot1
支	zi1
枝	zi1
知	zi1
螆	zi1
子	zi2
紙	zi2
痣	zi3
