倒汗水	dou3 hon6 seoi2
倒泻箩蟹	dou2 ze2 lo4 haai5
倒灶	dou2 zou3
倒牙	dou2 ngaa4
倒牙	dou2 ngaa2
倒瓤	dou2 nong4
倒瓤冬瓜	dou2 nong4 dung1 gwaa1
倒米	dou2 mai5
倒米寿星	dou2 mai5 sau6 sing1
倒翻转	dou3 faan1 zyun3
倒褪	dou3 tan3
倓定	daam6 ding6
淡定	daam6 ding6
倔	gwat6
𡲬	gwat6
倔头	gwat6 tau4
倔头	gwat6 tau4
倔尾龙	gwat6 mei5 lung4
倔尾龙	gwat6 mei5 lung2
倔擂槌	gwat6 leoi4 ceoi4
倔笼	gwat6 lung4
倔笼	gwat6 lung2
候镬	hau6 wok6
候镬	hau6 wok2
借	ze3
借乜	ze3 me2
借歪	ze3 me2
借借	ze3 ze3
借借	ze2 ze3
借头借路	ze3 tau4 ze3 lou6
借意	ze3 ji3
倾	king1
倾	king1
倾偈	king1 gai6
倾偈	king1 gai2
倾电话	king1 din6 waa6
倾电话	king1 din6 waa2
倾铃哐啷	king1 ling1 gwaang1 laang1
假石屎楼	gaa2 sek6 si2 lau4
假石屎楼	gaa2 sek6 si2 lau2
假膊	gaa2 bok3
偏门	pin1 mun4
偏门	pin1 mun2
做	zou6
做丑人	zou6 cau2 jan4
做世界	zou6 sai3 gaai3
做乜嘢	zou6 mat1 je5
做厅长	zou6 teng1 zoeng2
做嘢	zou6 je5
做大戏	zou6 daai6 hei3
做头	zou6 tau4
做好人	zou6 hou2 jan4
做好心	zou6 hou2 sam1
做戏	zou6 hei3
做木	zou6 muk6
做爱	zou6 oi3
做磨心	zou6 mo6 sam1
停	ting4
停	ting2
偶然之间	ngau5 jin4 zi1 gaan1
偷	tau1
偷呃拐骗	tau1 aak1 gwaai2 pin3
偷呃拐骗	tau1 ak1 gwaai2 pin3
偷步	tau1 bou6
偷甩	tau1 lat1
偷眼屎	tau1 ngaan5 si2
偷鸡	tau1 gai1
储	cou5
催命	ceoi1 meng6
傻仔	so4 zai2
傻仔	so4 zai2
傻仔	so4 zai2
傻仔水	so4 zai2 seoi2
傻十	so4 sap6
傻戆戆	so4 ngong6 ngong6
傻戆戆	so4 gaang1 gaang1
傻捞捞	so4 lau3 lau3
僆囗	leng1 keng1
僆仔	leng1 zai2
僆女	leng1 neoi5
僆女	leng1 neoi2
儆	geng6
儆	geng6
儆惜	geng6 sek3
儆惜	geng6 sek3
